,PassengerNumber,Name,HomePlanet,Destination,deck,numofcabin,side,Age,CryoSleep,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported
0,1,Maham Ofracculy,Europa,TRAPPIST-1e,B,0,P,39,False,False,0,0,0,0,0,False
1,2,Juanna Vines,Earth,TRAPPIST-1e,F,0,S,24,False,False,109,9,25,549,44,True
2,3,Altark Susent,Europa,TRAPPIST-1e,A,0,S,58,False,True,43,3576,0,6715,49,False
3,3,Solam Susent,Europa,TRAPPIST-1e,A,0,S,33,False,False,0,1283,371,3329,193,False
4,4,Willy Santantines,Earth,TRAPPIST-1e,F,1,S,16,False,False,303,70,151,565,2,True
5,5,Sandie Hinetthews,Earth,PSO J318.5-22,F,0,P,44,False,False,0,483,0,291,0,True
6,6,Billex Jacostaffey,Earth,TRAPPIST-1e,F,2,S,26,False,False,42,1539,3,0,0,True
7,6,Candra Jacostaffey,Earth,TRAPPIST-1e,G,0,S,28,True,False,0,0,0,0,0,True
8,7,Andona Beston,Earth,TRAPPIST-1e,F,3,S,35,False,False,0,785,17,216,0,True
9,8,Erraiam Flatic,Europa,55 Cancri e,B,1,P,14,True,False,0,0,0,0,0,True
10,8,Altardr Flatic,Europa,TRAPPIST-1e,B,1,P,34,True,False,0,0,0,0,0,True
11,8,Wezena Flatic,Europa,55 Cancri e,B,1,P,45,False,False,39,7295,589,110,124,True
12,9,Berers Barne,Mars,TRAPPIST-1e,F,1,P,32,False,False,73,0,1123,0,113,True
13,10,Reney Baketton,Earth,TRAPPIST-1e,G,1,S,48,False,False,719,1,65,0,24,False
14,11,Elle Bertsontry,Earth,TRAPPIST-1e,F,2,P,28,False,False,8,974,12,2,7,True
15,12,Justie Pooles,Earth,TRAPPIST-1e,A,67,P,31,False,False,32,0,876,0,0,False
16,14,Flats Eccle,Mars,55 Cancri e,F,3,P,27,False,False,1286,122,484,0,0,False
17,15,Carry Hughriend,Earth,55 Cancri e,F,4,P,24,False,False,0,1,0,0,637,False
